source,target,direction,seed,method,delta_roc_auc,negative_adaptation_auc,global_importance_spearman,global_top3_overlap_fraction,global_importance_relative_l1_drift,patient_l1_drift_mean,patient_l2_drift_mean,patient_cosine_similarity_mean,patient_top3_overlap_mean,mean_absolute_probability_shift
cleveland,va_long_beach,cleveland -> va_long_beach,9,pseudo_label_sfda,-0.0005263850506646,True,1.0,1.0,0.0785718459486781,0.2092101955434191,0.101215304213142,0.9990719391378912,0.9866666666666666,0.0321543703228235
cleveland,va_long_beach,cleveland -> va_long_beach,9,entropy_sfda,0.001973943939992,False,0.9761904761904764,0.6666666666666666,0.0941159423936725,0.2594947402027173,0.132301293788698,0.9975847042631988,0.9633333333333334,0.0374343069829046
cleveland,va_long_beach,cleveland -> va_long_beach,9,reliability_gated_sfda,0.0002631925253321,False,1.0,1.0,0.0234570258610784,0.0578915349541057,0.0280738297300591,0.9999795448185612,0.9983333333333334,0.0042348919995129
cleveland,va_long_beach,cleveland -> va_long_beach,9,conservative_candidate,-0.0005263850506647,True,1.0,1.0,0.0076529689934985,0.0227238749415846,0.0107156829219724,0.9999837659243386,0.995,0.0029513631016015
hungary,cleveland,hungary -> cleveland,0,pseudo_label_sfda,0.0016669591156343,False,1.0,1.0,0.211097239357723,0.673880813175658,0.3293420309988482,0.9983702351177508,0.966996699669967,0.0362653261566958
hungary,cleveland,hungary -> cleveland,0,entropy_sfda,0.0012721530092998,False,0.9761904761904764,1.0,0.230321956165645,0.7175533854498269,0.3581194670946706,0.9973133166896954,0.9394939493949396,0.0484452695976143
hungary,cleveland,hungary -> cleveland,0,reliability_gated_sfda,-8.77346902964371e-05,True,1.0,1.0,0.025548449260946,0.083049481171287,0.0383917334259397,0.9999314689418364,0.992299229922992,0.0048731618158199
hungary,cleveland,hungary -> cleveland,0,conservative_candidate,-0.0002193367257412,True,1.0,1.0,0.0048291337177317,0.0219519228644502,0.0101278778814913,0.9999735037827522,0.9944994499449944,0.0020808302997165
hungary,cleveland,hungary -> cleveland,1,pseudo_label_sfda,0.0005264081417792,False,0.9761904761904764,0.6666666666666666,0.2199559480948673,0.7142039588592759,0.3518591136029231,0.9988429042913696,0.966996699669967,0.0365846189962263
hungary,cleveland,hungary -> cleveland,1,entropy_sfda,-0.0005702754869273,True,0.9761904761904764,0.6666666666666666,0.1959149438520158,0.6608349671801305,0.3277074962769148,0.9970862934179828,0.943894389438944,0.0457999724187817
